gene,rescue_asymmetry,mean_symmetry,classification,top_panel_neighbour_s1,top_panel_sim_s1,top_disease_pathways_s2,top_healthy_pathways_s2,shared_pathways_s2,pathway_source
UNC13A,-7.098138303263113e-05,0.43345543345543347,Causal driver,DYNC1H1,0.63,Neuronal System | Transmission Across Chemical Synapses | Neurotransmitter Receptors And Postsynap,Neuronal System | Transmission Across Chemical Synapses | Neurotransmitter Receptors And Postsynap,neurotransmitter receptors and postsynaptic signal transmission; neuronal system; dag and ip3 signaling,Stage2_approximate
STMN2,0.00013243913417682052,0.33730158730158727,Disease modifier,NEK1,0.513,Neuronal System | Transmission Across Chemical Synapses | Neurotransmitter Receptors And Postsynap,Neuronal System | Transmission Across Chemical Synapses | Neurotransmitter Receptors And Postsynap,neurotransmitter receptors and postsynaptic signal transmission; neuronal system; integration of energy metabolism,Stage2_approximate
TARDBP,1.730620897433255e-05,0.23976608187134504,Disease modifier,NEK1,0.293,Glutamate Neurotransmitter Release Cycle | Neurotransmitter Release Cycle | Dopamine Neurotransmitter Release Cycle,Neuronal System | Transmission Across Chemical Synapses | Potassium Channels,serotonin neurotransmitter release cycle; neuronal system; protein-protein interactions at synapses,Stage2_approximate
